player,matches,runs,balls,fours,sixes,runs_per_match,strike_rate,boundary_runs,boundary_percentage,run_score,strike_rate_score,runs_per_match_score,boundary_score,experience_score,scouting_score,player_category,rank
PD Salt,40,1258,715,138,67,31.45,175.94,954,75.83,13.460303873314787,76.50230454822159,70.35794183445189,86.61336379211879,14.545454545454543,48.02,Aggressive Batter,45
Priyansh Arya,31,909,469,87,63,29.32,193.82,726,79.87,9.726086026107424,84.27689364292547,65.59284116331095,91.2278697886922,11.272727272727272,47.84,Aggressive Batter,46
P Simran Singh,65,1865,1184,196,94,28.69,157.52,1348,72.28,19.95506098865825,68.49291242716758,64.18344519015659,82.55853797829812,23.63636363636364,47.56,Aggressive Batter,47
RM Patidar,52,1612,978,106,110,31.0,164.83,1084,67.25,17.248020543548044,71.67144969127752,69.35123042505592,76.81324957167334,18.90909090909091,47.4,Aggressive Batter,48
DR Smith,88,2385,1755,245,117,27.1,135.9,1682,70.52,25.518938583351165,59.09209496477955,60.62639821029082,80.54825813820673,32.0,47.08,Developing Player,49
MR Marsh,62,1855,1245,155,111,29.92,149.0,1286,69.33,19.848063342606466,64.78824245586573,66.9351230425056,79.18903483723587,22.545454545454547,46.7,Aggressive Batter,50
MA Agarwal,125,2764,2053,275,100,22.11,134.63,1700,61.51,29.574149368713886,58.539873032437605,49.46308724832214,70.25699600228441,45.45454545454545,46.45,Developing Player,51
JM Bairstow,52,1674,1142,173,74,32.19,146.58,1136,67.86,17.91140594906912,63.735977041481874,72.01342281879194,77.50999428897772,18.90909090909091,46.25,Aggressive Batter,52
A Mhatre,13,441,239,51,23,33.92,184.52,342,77.55,4.7185961908838,80.23306374467346,75.88366890380314,88.57795545402627,4.727272727272728,46.22,Aggressive Batter,53
Yuvraj Singh,126,2754,2115,218,149,21.86,130.21,1766,64.12,29.4671517226621,56.61796677971999,48.90380313199105,73.23814962878356,45.81818181818182,46.15,Developing Player,54
WP Saha,143,2934,2296,296,87,20.52,127.79,1706,58.15,31.393109351594266,55.56570136533612,45.90604026845637,66.41918903483723,52.0,45.9,Developing Player,55
AC Gilchrist,80,2069,1483,239,92,25.86,139.51,1508,72.89,22.1378129681147,60.66179667797199,57.85234899328858,83.25528269560252,29.09090909090909,45.72,Developing Player,56
RD Rickelton,26,836,495,78,55,32.15,168.89,642,76.79,8.945003209929382,73.43682059309505,71.92393736017895,87.70988006853227,9.454545454545457,45.59,Aggressive Batter,57
C Connolly,13,491,299,43,32,37.77,164.21,364,74.13,5.253584421142735,71.40186103139405,84.49664429530202,84.67161621930325,4.727272727272728,45.53,Aggressive Batter,58
SP Narine,122,1820,1099,191,120,14.92,165.61,1484,81.54,19.473571581425208,72.01060961822769,33.37807606263981,93.1353512278698,44.36363636363637,45.24,Aggressive Batter,59
PA Patel,136,2848,2350,365,49,20.94,121.19,1754,61.59,30.472929595548894,52.69588659883468,46.84563758389262,70.3483723586522,49.45454545454545,45.19,Developing Player,60
S Dube,87,2129,1460,132,137,24.47,145.82,1350,63.41,22.77979884442542,63.40551352291504,54.74272930648769,72.42718446601941,31.636363636363637,45.18,Aggressive Batter,61
JP Inglis,16,544,313,58,28,34.0,173.8,400,73.53,5.820671945217206,75.57178885120446,76.06263982102908,83.98629354654483,5.818181818181818,45.12,Aggressive Batter,62
MP Stoinis,108,2242,1511,181,117,20.76,148.38,1426,63.6,23.98887224481061,64.51865379598226,46.44295302013423,72.64420331239292,39.27272727272727,45.01,Aggressive Batter,63
D Padikkal,89,2270,1700,241,80,25.51,133.53,1444,63.61,24.288465653755612,58.06157057135404,57.069351230425056,72.65562535693888,32.36363636363636,44.93,Developing Player,64
Tilak Varma,65,1858,1278,143,91,28.58,145.38,1118,60.17,19.880162636422,63.214192538481605,63.93736017897091,68.72644203312393,23.63636363636364,44.79,Aggressive Batter,65
RA Tripathi,98,2291,1655,229,85,23.38,138.43,1426,62.24,24.51316071046437,60.19219062527177,52.304250559284114,71.0908052541405,35.63636363636364,44.76,Developing Player,66
M Vijay,105,2619,2147,247,91,24.94,121.98,1534,58.57,28.02268350096298,53.03939472997652,55.79418344519016,66.89891490576814,38.18181818181819,44.73,Developing Player,67
PP Shaw,79,1892,1279,238,61,23.95,147.93,1318,69.66,20.243954632998072,64.32298460735717,53.57941834451901,79.565962307253,28.72727272727273,44.71,Aggressive Batter,68
SR Tendulkar,78,2334,1941,296,29,29.92,120.25,1358,58.18,24.97325058848705,52.28715540481781,66.9351230425056,66.45345516847516,28.363636363636363,44.68,Developing Player,69
DP Conway,28,1080,770,117,34,38.57,140.26,672,62.22,11.55574577359298,60.98791199234716,86.28635346756151,71.06796116504854,10.181818181818182,44.67,Consistent Performer,70
SPD Smith,93,2495,1931,226,60,26.83,129.21,1264,50.66,26.69591268992082,56.183146360553096,60.02237136465324,57.86407766990291,33.81818181818182,44.56,Developing Player,71
MEK Hussey,58,1977,1610,198,52,34.09,122.8,1104,55.84,21.153434624438265,53.39594747369336,76.26398210290827,63.78069674471731,21.09090909090909,44.49,Developing Player,72
CA Lynn,42,1329,941,132,66,31.64,141.23,924,69.53,14.219987160282471,61.40968779893904,70.78299776286353,79.41747572815534,15.272727272727272,43.96,Developing Player,73
ML Hayden,32,1107,799,121,44,34.59,138.55,748,67.57,11.844639417932806,60.24436907557181,77.38255033557047,77.17875499714448,11.636363636363637,43.56,Developing Player,74
VR Iyer,62,1677,1180,157,78,27.05,142.12,1096,65.35,17.943505242884655,61.79667797199757,60.5145413870246,74.64306110793831,22.545454545454547,43.55,Developing Player,75
KS Williamson,76,2132,1692,187,64,28.05,126.0,1132,53.1,22.81189813824096,54.78737281502739,62.75167785234898,60.6510565391205,27.63636363636364,43.06,Developing Player,76
LMP Simmons,29,1079,848,109,44,37.21,127.24,700,64.87,11.545046008987804,55.32655013479433,83.24384787472036,74.09480296973159,10.545454545454543,42.99,Consistent Performer,77
R Parag,86,1879,1296,136,108,21.85,144.98,1192,63.44,20.10485769313075,63.040264370814846,48.88143176733781,72.46145059965734,31.272727272727277,42.95,Developing Player,78
AJ Finch,90,2092,1626,214,78,23.24,128.66,1324,63.29,22.38390755403381,55.9439951300113,51.99105145413869,72.29011993146773,32.72727272727273,42.72,Developing Player,79
TH David,59,1151,642,76,83,19.51,179.28,802,69.68,12.315429060560668,77.95460474823898,43.64653243847874,79.58880639634496,21.454545454545453,42.63,Aggressive Batter,80
R Dravid,82,2174,1878,269,28,26.51,115.76,1244,57.22,23.261288251658463,50.33481172275851,59.306487695749446,65.35693889206168,29.818181818181817,42.1,Developing Player,81
JH Kallis,95,2427,2213,255,44,25.55,109.67,1284,52.9,25.968328696768676,47.68675537003218,57.158836689038026,60.42261564820103,34.54545454545455,41.94,Developing Player,82
HM Amla,16,577,406,60,21,36.06,142.12,366,63.43,6.173764177188102,61.79667797199757,80.67114093959732,72.45002855511137,5.818181818181818,41.57,Consistent Performer,83
JP Duminy,75,2029,1631,126,79,27.05,124.4,978,48.2,21.709822383907557,54.09166014436039,60.5145413870246,55.05425471159337,27.27272727272727,41.46,Developing Player,84
AK Markram,66,1671,1228,131,68,25.32,136.07,932,55.77,17.879306655253586,59.16601443603792,56.64429530201341,63.700742432895495,24.0,41.15,Developing Player,85
Dhruv Jurel,51,1195,775,98,62,23.43,154.19,764,63.93,12.78621870318853,67.04496043134186,52.41610738255034,73.02113078241005,18.545454545454547,40.88,Aggressive Batter,86
AR Patel,134,2089,1556,146,100,15.59,134.25,1184,56.68,22.35180826021828,58.3746412731542,34.87695749440716,64.7401484865791,48.72727272727273,40.74,Developing Player,87
RK Singh,62,1398,948,115,67,22.55,147.47,862,61.66,14.958270918039805,64.1229672145404,50.44742729306487,70.42832667047402,22.545454545454547,40.65,Aggressive Batter,88
A Raghuvanshi,30,885,606,86,35,29.5,146.04,554,62.6,9.469291675583138,63.50117401513175,65.99552572706935,71.50199885779554,10.909090909090908,40.63,Aggressive Batter,89
SO Hetmyer,85,1566,1044,99,96,18.42,150.0,972,62.07,16.755831371709824,65.22306287503261,41.20805369127517,70.89663049685893,30.909090909090907,40.59,Aggressive Batter,90
LS Livingstone,49,1066,680,70,76,21.76,156.76,736,69.04,11.405949069120478,68.16244890860075,48.68008948545861,78.85779554540264,17.81818181818182,40.44,Aggressive Batter,91
KK Nair,78,1712,1301,188,49,21.95,131.59,1046,61.1,18.317997004065912,57.21801895817028,49.10514541387025,69.78869217589948,28.363636363636363,40.35,Developing Player,92
KH Pandya,123,1982,1476,173,76,16.11,134.28,1148,57.92,21.20693344746416,58.3876858857292,36.04026845637584,66.15648201027984,44.72727272727273,40.32,Developing Player,93
DPMD Jayawardene,78,1808,1462,200,40,23.18,123.67,1040,57.52,19.345174406163064,53.77424123836856,51.85682326621923,65.6996002284409,28.363636363636363,39.99,Developing Player,94
C Green,42,1029,677,84,49,24.5,151.99,630,61.22,11.010057778728868,66.08835550917472,54.80984340044742,69.92575671045117,15.272727272727272,39.86,Aggressive Batter,95
ST Jayasuriya,30,768,529,84,39,25.6,145.18,570,74.22,8.21741921677723,63.12722845464823,57.27069351230425,84.77441462021702,10.909090909090908,39.68,Aggressive Batter,96
KC Sangakkara,68,1687,1385,195,27,24.81,121.81,942,55.84,18.050502888936443,52.96547525871815,55.50335570469797,63.78069674471731,24.727272727272727,39.51,Developing Player,97
Ashutosh Sharma,26,564,328,39,40,21.69,171.95,396,70.21,6.034667237320779,74.76737107574571,48.5234899328859,80.19417475728154,9.454545454545457,39.47,Aggressive Batter,98
KR Mayers,13,379,258,38,22,29.15,146.9,284,74.93,4.055210785362722,63.87511957561528,65.21252796420582,85.58537978298116,4.727272727272728,39.46,Aggressive Batter,99
Shashank Singh,42,905,560,67,51,21.55,161.61,574,63.43,9.68328696768671,70.27132794156014,48.210290827740494,72.45002855511137,15.272727272727272,39.37,Aggressive Batter,100
JJ Roy,21,614,441,75,21,29.24,139.23,426,69.38,6.569655467579713,60.54004696060527,65.413870246085,79.24614505996573,7.636363636363637,39.21,Developing Player,101
Naman Dhir,33,710,432,68,36,21.52,164.35,488,68.73,7.596832869676867,71.4627358900774,48.14317673378076,78.50371216447745,12.0,39.2,Aggressive Batter,102
JM Sharma,59,1107,723,86,68,18.76,153.11,752,67.93,11.844639417932806,66.57535437864162,41.96868008948546,77.58994860079954,21.454545454545453,39.09,Aggressive Batter,103
KP Pietersen,36,1001,742,91,40,27.81,134.91,604,60.34,10.710464369783864,58.66162274980433,62.21476510067113,68.92061679040549,13.090909090909092,39.06,Developing Player,104
WG Jacks,26,602,377,50,38,23.15,159.68,428,71.1,6.441258292317569,69.43212453256805,51.7897091722595,81.21073672187322,9.454545454545457,39.04,Aggressive Batter,105
T Stubbs,43,986,647,69,47,22.93,152.4,558,56.59,10.549967900706186,66.26663188103313,51.29753914988814,64.63735008566533,15.636363636363637,38.55,Aggressive Batter,106
MM Ali,59,1167,831,95,67,19.78,140.43,782,67.01,12.486625294243527,61.06183146360553,44.25055928411633,76.53912050256997,21.454545454545453,38.29,Developing Player,107
D Brevis,24,606,415,38,43,25.25,146.02,410,67.66,6.484057350738285,63.49247760674842,56.48769574944071,77.28155339805825,8.727272727272728,38.04,Aggressive Batter,108
A Badoni,56,1178,834,96,47,21.04,141.25,666,56.54,12.604322704900492,61.418384207322376,47.06935123042505,64.58023986293546,20.363636363636363,37.67,Developing Player,109
E Lewis,26,654,477,62,36,25.15,137.11,464,70.95,6.9976460517868615,59.61822767197148,56.26398210290827,81.03940605368362,9.454545454545457,37.66,Developing Player,110
A Symonds,36,974,745,74,41,27.06,130.74,542,55.65,10.42157072544404,56.84842160187843,60.53691275167784,63.563677898343805,13.090909090909092,37.63,Developing Player,111
Abishek Porel,33,769,528,80,28,23.3,145.64,488,63.46,8.22811898138241,63.327245847464994,52.12527964205817,72.48429468874929,12.0,37.59,Aggressive Batter,112
Mandeep Singh,97,1706,1385,176,38,17.59,123.18,932,54.63,18.25379841643484,53.561179232976784,39.35123042505593,62.39862935465449,35.27272727272727,37.42,Developing Player,113
BJ Hodge,63,1400,1112,122,43,22.22,125.9,746,53.29,14.97967044725016,54.74389077311072,49.709172259507824,60.868075385494,22.90909090909091,37.25,Developing Player,114
MK Tiwary,83,1695,1444,156,40,20.42,117.38,864,50.97,18.13610100577787,51.03922080180885,45.68232662192394,58.2181610508281,30.181818181818183,37.08,Developing Player,115
Nithish Kumar Reddy,35,787,540,50,46,22.49,145.74,476,60.48,8.420714744275626,63.3707278893817,50.313199105145415,69.0805254140491,12.727272727272728,37.03,Aggressive Batter,116
RR Rossouw,22,473,306,45,25,21.5,154.58,330,69.77,5.060988658249518,67.21454039481695,48.09843400447427,79.6916047972587,8.0,36.96,Aggressive Batter,117
S Badrinath,65,1441,1208,154,28,22.17,119.29,784,54.41,15.418360796062483,51.86972780241761,49.597315436241615,62.147344374643055,23.63636363636364,36.86,Developing Player,118
R Tewatia,91,1302,938,110,62,14.31,138.81,812,62.37,13.93109351594265,60.35742238455518,32.013422818791945,71.23929183323816,33.09090909090909,36.8,Developing Player,119
DJ Bravo,110,1560,1196,120,66,14.18,130.43,876,56.15,16.69163278407875,56.71362727193669,31.722595078299776,64.1347801256425,40.0,36.78,Developing Player,120
M Vohra,51,1083,828,104,43,21.24,130.8,674,62.23,11.587845067408518,56.874510827028445,47.516778523489926,71.07938320959451,18.545454545454547,36.74,Developing Player,121
NV Ojha,94,1554,1308,121,79,16.53,118.81,958,61.65,16.627434196447677,51.661014001217495,36.97986577181208,70.41690462592804,34.18181818181818,36.59,Developing Player,122
N Wadhera,37,784,557,64,43,21.19,140.75,514,65.56,8.388615450460088,61.20097399773894,47.40492170022371,74.88292404340378,13.454545454545457,36.55,Developing Player,123
EJG Morgan,74,1406,1147,112,64,19.0,122.58,832,59.17,15.043869034881231,53.30028698147665,42.505592841163306,67.58423757852657,26.90909090909091,36.54,Developing Player,124
DJ Hussey,61,1322,1070,90,60,21.67,123.55,720,54.46,14.14508880804622,53.72206278806853,48.47874720357942,62.20445459737294,22.181818181818183,36.52,Developing Player,125
SC Ganguly,56,1349,1257,137,42,24.09,107.32,800,59.3,14.433982452386047,46.66492738499,53.89261744966443,67.73272415762422,20.363636363636363,36.31,Developing Player,126
SS Tiwary,73,1494,1235,111,50,20.47,120.97,744,49.8,15.98544832013696,52.60022610661797,45.79418344519015,56.88178183894917,26.545454545454543,36.25,Developing Player,127
Sameer Rizvi,18,424,293,30,26,23.56,144.71,276,65.09,4.536700192595763,62.92286285763981,52.7069351230425,74.34608794974301,6.545454545454546,35.95,Developing Player,128
TM Dilshan,50,1153,1001,140,24,23.06,115.18,704,61.06,12.336828589771024,50.08261587964172,51.58836689038032,69.74300399771559,18.181818181818183,35.95,Developing Player,128
Kartik Sharma,11,295,216,24,16,26.82,136.57,192,65.08,3.156430558527713,59.38342464562136,60.0,74.33466590519703,4.0,35.78,Developing Player,130
V Shankar,63,1233,947,88,48,19.57,130.2,640,51.91,13.19280975818532,56.6136185755283,43.780760626398205,59.29183323814963,22.90909090909091,35.75,Developing Player,131
SM Curran,53,997,725,85,41,18.81,137.52,586,58.78,10.66766531136315,59.7965040438299,42.08053691275167,67.13877784123359,19.272727272727277,35.74,Developing Player,132
BA Stokes,43,935,695,81,32,21.74,134.53,516,55.19,10.004279905842072,58.49639099052092,48.63534675615212,63.03826384922901,15.636363636363637,35.72,Developing Player,133
DJ Hooda,101,1497,1167,98,62,14.82,128.28,764,51.04,16.017547613952495,55.77876337072789,33.15436241610738,58.29811536264992,36.72727272727273,35.68,Developing Player,134
Abdul Samad,58,859,575,55,55,14.81,149.39,550,64.03,9.19109779584849,64.9578224193408,33.13199105145414,73.13535122786979,21.09090909090909,35.51,Aggressive Batter,135
R Ravindra,18,413,284,40,16,22.94,145.42,256,61.99,4.419002781938797,63.23158535524828,51.31991051454139,70.80525414049114,6.545454545454546,35.35,Aggressive Batter,136
CL White,45,971,757,76,38,21.58,128.27,532,54.79,10.389471431628504,55.77441516653623,48.27740492170022,62.58138206739007,16.363636363636363,35.13,Developing Player,137
M Shahrukh Khan,53,775,523,49,52,14.62,148.18,508,65.55,8.29231756901348,64.43168971214888,32.7069351230425,74.8715019988578,19.272727272727277,34.97,Aggressive Batter,138
JA Morkel,67,975,683,61,55,14.55,142.75,574,58.87,10.432270490049218,62.0706148360727,32.5503355704698,67.24157624214733,24.363636363636363,34.84,Developing Player,139
SE Rutherford,27,520,362,30,38,19.26,143.65,348,66.92,5.563877594692917,62.46195321332291,43.08724832214765,76.4363221016562,9.818181818181818,34.81,Developing Player,140
R Powell,30,555,389,38,38,18.5,142.67,380,68.47,5.938369355874171,62.03582920253935,41.38702460850112,78.20673900628212,10.909090909090908,34.78,Developing Player,141
JD Ryder,29,604,455,69,19,20.83,132.75,390,64.57,6.462657821527927,57.722410644403865,46.599552572706926,73.75214163335237,10.545454545454543,34.44,Developing Player,142
SN Khan,43,746,538,86,20,17.35,138.66,464,62.2,7.9820243954632994,60.29219932168015,38.81431767337808,71.0451170759566,15.636363636363637,34.3,Developing Player,143
HH Gibbs,36,886,805,83,31,24.61,110.06,518,58.47,9.479991440188316,47.85633533350727,55.055928411633104,66.78469446030839,13.090909090909092,34.28,Developing Player,144
Rahmanullah Gurbaz,18,363,268,34,22,20.17,135.45,268,73.83,3.884014551679863,58.89642577615445,45.12304250559284,84.32895488292405,6.545454545454546,34.2,Developing Player,145
JR Hopes,19,417,305,49,11,21.95,136.72,262,62.83,4.461801840359512,59.4486477084964,49.10514541387025,71.76470588235294,6.909090909090909,34.11,Developing Player,146
PJ Cummins,51,642,419,40,44,12.59,153.22,424,66.04,6.869248876524717,66.62318462474998,28.165548098434,75.43118218161052,18.545454545454547,34.09,Aggressive Batter,147
Rashid Khan,72,635,400,45,43,8.82,158.75,438,68.98,6.794350524288466,69.02774154274285,19.731543624161077,78.78926327812678,26.181818181818183,34.08,Aggressive Batter,148
PC Valthaty,23,505,414,61,20,21.96,121.98,364,72.08,5.403381125615237,53.03939472997652,49.127516778523486,82.33009708737865,8.363636363636363,34.05,Developing Player,149
GC Smith,29,739,664,94,9,25.48,111.3,430,58.19,7.907126043227048,48.3955126532742,57.00223713646532,66.46487721302114,10.545454545454543,33.97,Developing Player,150
KM Jadhav,81,1208,969,102,40,14.91,124.66,648,53.64,12.925315643055852,54.20471345334376,33.355704697986575,61.267846944603086,29.454545454545457,33.82,Developing Player,151
LRPL Taylor,54,1017,818,66,46,18.83,124.33,540,53.1,10.881660603466724,54.0612227150187,42.12527964205816,60.6510565391205,19.63636363636364,33.78,Developing Player,152
MC Henriques,54,1000,785,87,28,18.52,127.39,516,51.6,10.699764605178686,55.391773197669366,41.4317673378076,58.93774985722444,19.63636363636364,33.74,Developing Player,153
CH Morris,49,618,397,41,35,12.61,155.67,374,60.52,6.612454526000428,67.68849465170884,28.210290827740494,69.12621359223301,17.81818181818182,33.57,Aggressive Batter,154
SA Asnodkar,19,423,337,56,10,22.26,125.52,284,67.14,4.526000427990584,54.57865901382729,49.7986577181208,76.68760708166762,6.909090909090909,33.55,Developing Player,155
Harbhajan Singh,88,833,599,79,42,9.47,139.07,568,68.19,8.912903916113846,60.470475693538575,21.18568232662192,77.88692175899486,32.0,33.46,Developing Player,156
Washington Sundar,59,888,653,82,28,15.05,135.99,496,55.86,9.501390969398674,59.13122880250457,33.66890380313199,63.80354083380926,21.454545454545453,33.37,Developing Player,157
OA Shah,22,506,388,34,23,23.0,130.41,274,54.15,5.414080890220415,56.70493086355335,51.45413870246085,61.85037121644774,8.0,33.35,Developing Player,158
MS Bisla,39,798,700,93,23,20.46,114.0,510,63.91,8.53841215493259,49.56952778502479,45.77181208053691,72.99828669331811,14.181818181818182,33.25,Developing Player,159
Y Venugopal Rao,52,985,832,77,37,18.94,118.39,530,53.81,10.539268136101006,51.47838942516741,42.371364653243845,61.46202170188464,18.90909090909091,33.07,Developing Player,160
